"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All amounts in USD, unless specified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date/time: posted date/time of the transaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selling fees: Includes variable closing fees and referral fees.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Reports with start date of Jan 1, 2025 or later are indexed by posted date, include both released and deferred transactions and have two new columns. You may need to update integrations or third-party mappings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date/time,settlement id,type,order id,sku,description,quantity,marketplace,fulfillment,order city,order state,order postal,tax collection model,product sales,product sales tax,shipping credits,shipping credits tax,gift wrap credits,giftwrap credits tax,Regulatory Fee,Tax On Regulatory Fee,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total,Transaction Status,Transaction Release Date
"Jun 3, 2026 2:15:12 AM PDT",26501622601,Order,111-6157655-2425029,1191422,"WEILOONG Moishine Hot & Spicy Konjac Snack, Chewy Bouncy Plant-Based Snack, Ready-to-Eat High Fiber Konjac Bites, Individually Wrapped Packs, 12.7 oz",1,amazon.com,Seller,LOS ANGELES,CA,90005,MarketplaceFacilitator,9.89,0,5,0,0,0,0,0,0,0,0,0,0,0,0,14.89,Released,"Jun 12, 2026 1:35:09 PM PDT"
"Jun 3, 2026 2:21:53 AM PDT",26501622601,Order,111-6404412-2281856,1191424,"WEILOONG Moishine Szechwan Taste Konjac Snack, Chewy Bouncy Plant-Based Snack, Ready-to-Eat High Fiber Konjac Bites, Individually Wrapped Packs, 12.7",3,amazon.com,Seller,RIDGEFIELD,NJ,07657,MarketplaceFacilitator,29.67,0,5,0,0,0,0,0,0,0,0,0,0,0,0,34.67,Released,"Jun 14, 2026 2:32:22 AM PDT"
"Jun 4, 2026 6:02:44 AM PDT",26501622601,Order,113-6340384-2153009,1191422,"WEILOONG Moishine Hot & Spicy Konjac Snack, Chewy Bouncy Plant-Based Snack, Ready-to-Eat High Fiber Konjac Bites, Individually Wrapped Packs, 12.7 oz",1,amazon.com,Seller,ENGLEWOOD,NJ,07631,MarketplaceFacilitator,9.89,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,11.14,Released,"Jun 16, 2026 6:50:21 AM PDT"
"Jun 4, 2026 6:02:44 AM PDT",26501622601,Order,113-6340384-2153009,1191424,"WEILOONG Moishine Szechwan Taste Konjac Snack, Chewy Bouncy Plant-Based Snack, Ready-to-Eat High Fiber Konjac Bites, Individually Wrapped Packs, 12.7",3,amazon.com,Seller,ENGLEWOOD,NJ,07631,MarketplaceFacilitator,29.67,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,33.42,Released,"Jun 16, 2026 6:50:21 AM PDT"
"Jun 6, 2026 8:52:41 AM PDT",26501622601,Service Fee,,,Subscription,,Amazon.com,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-39.99,-39.99,Released,"Jun 6, 2026 8:52:41 AM PDT"
"Jun 8, 2026 5:37:59 PM PDT",26501622601,Order,112-1823273-9186641,1191417,"WEILOONG Moishine Hot & Spicy Konjac Snack, Chewy Bouncy Plant-Based Snack, Ready-to-Eat High Fiber Konjac Bites, Individually Wrapped Packs, 4.87 oz",1,amazon.com,Seller,FORT WORTH,TX,76135,MarketplaceFacilitator,3.59,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8.59,Deferred,
"Jun 8, 2026 5:48:48 PM PDT",26501622601,Order,112-2836528-8177831,1191422,"WEILOONG Moishine Hot & Spicy Konjac Snack, Chewy Bouncy Plant-Based Snack, Chinese Snacks Fiber Konjac Bites, Individually Wrapped Packs, 12.7 oz (36",1,amazon.com,Seller,SAN RAMON,CA,94583,MarketplaceFacilitator,9.89,0,5,0,0,0,0,0,0,0,0,0,0,0,0,14.89,Deferred,
"Jun 8, 2026 6:01:52 PM PDT",26501622601,Order,113-1737617-4363449,1191423,"WEILOONG Moishine Sour & Hot Konjac Snack, Chewy Bouncy Plant-Based Snack, Ready-to-Eat High Fiber Konjac Bites, Individually Wrapped Packs, 12.7 oz (",1,amazon.com,Seller,Elmhurst,NY,11373,MarketplaceFacilitator,9.89,0,5,0,0,0,0,0,0,0,0,0,0,0,0,14.89,Deferred,
"Jun 11, 2026 8:50:13 PM PDT",26501622601,Order,113-8698293-1107439,1191422,"WEILOONG Moishine Hot & Spicy Konjac Snack, Chewy Bouncy Plant-Based Snack, Chinese Snacks Fiber Konjac Bites, Individually Wrapped Packs, 12.7 oz (36",3,amazon.com,Seller,LOS ANGELES,CA,90015,MarketplaceFacilitator,29.67,0,5,0,0,0,0,0,0,0,0,0,0,0,0,34.67,Deferred,
"Jun 11, 2026 8:56:05 PM PDT",26501622601,Order,114-1049221-7867469,1191426-FBM,"WEILOONG Moishine Thai-Style Sour & Hot Konjac Snack, Chewy Bouncy Plant-Based Snack, Chinese Snacks High Fiber Konjac Bites, Latiao Spicy Strips Indi",1,amazon.com,Seller,LEXINGTON,KY,40507,MarketplaceFacilitator,9.89,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,12.39,Deferred,
